id,route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seats_available,state
372,NULL,https://redbus.in/bus-tickets/delhi-to-lucknow,"Gola Bus Service","VE AC Seater / Sleeper (2+1)",22:30:00.000000,"08h 00m",06:30:00.000000,0,499.00,25,NULL
373,NULL,https://redbus.in/bus-tickets/delhi-to-lucknow,PTC-SKYBUS,"VE AC Seater / Sleeper (2+1)",23:50:00.000000,"07h 40m",07:30:00.000000,0,700.00,30,NULL
374,NULL,https://redbus.in/bus-tickets/delhi-to-lucknow,"IntrCity SmartBus","Bharat Benz AC Seater /Sleeper (2+1)",21:20:00.000000,"09h 15m",06:35:00.000000,0,579.00,30,NULL
375,NULL,https://redbus.in/bus-tickets/delhi-to-lucknow,,,00:00:00.000000,,00:00:00.000000,0,0.00,0,NULL
376,NULL,https://redbus.in/bus-tickets/delhi-to-lucknow,,,00:00:00.000000,,00:00:00.000000,0,0.00,0,NULL
377,NULL,"Delhi to Lucknowhttps://redbus.in/bus-tickets/delhi-to-lucknow","Gola Bus Service","VE AC Seater / Sleeper (2+1)",22:30:00.000000,"08h 00m",06:30:00.000000,0,499.00,25,NULL
378,NULL,"Delhi to Lucknowhttps://redbus.in/bus-tickets/delhi-to-lucknow",PTC-SKYBUS,"VE AC Seater / Sleeper (2+1)",23:50:00.000000,"07h 40m",07:30:00.000000,0,700.00,29,NULL
379,NULL,"Delhi to Lucknowhttps://redbus.in/bus-tickets/delhi-to-lucknow","IntrCity SmartBus","Bharat Benz AC Seater /Sleeper (2+1)",21:20:00.000000,"09h 15m",06:35:00.000000,0,539.00,30,NULL
380,NULL,"Delhi to Lucknowhttps://redbus.in/bus-tickets/delhi-to-lucknow",,,00:00:00.000000,,00:00:00.000000,0,0.00,0,NULL
381,NULL,"Delhi to Lucknowhttps://redbus.in/bus-tickets/delhi-to-lucknow",,,00:00:00.000000,,00:00:00.000000,0,0.00,0,NULL
382,"Delhi to Lucknow",https://redbus.in/bus-tickets/delhi-to-lucknow,"Gola Bus Service","Bharat Benz AC Seater /Sleeper (2+1)",22:30:00.000000,"08h 00m",06:30:00.000000,0,499.00,33,NULL
383,"Delhi to Lucknow",https://redbus.in/bus-tickets/delhi-to-lucknow,PTC-SKYBUS,"VE AC Seater / Sleeper (2+1)",23:50:00.000000,"07h 40m",07:30:00.000000,0,700.00,30,NULL
384,"Delhi to Lucknow",https://redbus.in/bus-tickets/delhi-to-lucknow,"IntrCity SmartBus","Bharat Benz AC Seater /Sleeper (2+1)",21:20:00.000000,"09h 15m",06:35:00.000000,0,539.00,30,NULL
385,"Delhi to Lucknow",https://redbus.in/bus-tickets/delhi-to-lucknow,,,00:00:00.000000,,00:00:00.000000,0,0.00,0,NULL
386,"Delhi to Lucknow",https://redbus.in/bus-tickets/delhi-to-lucknow,,,00:00:00.000000,,00:00:00.000000,0,0.00,0,NULL
387,"Delhi to Lucknow",https://redbus.in/bus-tickets/delhi-to-lucknow,"Gola Bus Service","Bharat Benz AC Seater /Sleeper (2+1)",22:30:00.000000,"08h 00m",06:30:00.000000,0,499.00,28,UPSRTC
388,"Delhi to Lucknow",https://redbus.in/bus-tickets/delhi-to-lucknow,PTC-SKYBUS,"VE AC Seater / Sleeper (2+1)",23:50:00.000000,"07h 40m",07:30:00.000000,0,700.00,28,UPSRTC
389,"Delhi to Lucknow",https://redbus.in/bus-tickets/delhi-to-lucknow,"IntrCity SmartBus","Bharat Benz AC Seater /Sleeper (2+1)",21:20:00.000000,"09h 15m",06:35:00.000000,0,499.00,24,UPSRTC
390,"Delhi to Lucknow",https://redbus.in/bus-tickets/delhi-to-lucknow,,,00:00:00.000000,,00:00:00.000000,0,0.00,0,UPSRTC
391,"Delhi to Lucknow",https://redbus.in/bus-tickets/delhi-to-lucknow,,,00:00:00.000000,,00:00:00.000000,0,0.00,0,UPSRTC
392,"Lucknow to Delhi",https://redbus.in/bus-tickets/lucknow-to-delhi,"IntrCity SmartBus","Bharat Benz AC Seater /Sleeper (2+1)",20:40:00.000000,"08h 15m",04:55:00.000000,0,819.00,18,UPSRTC
393,"Lucknow to Delhi",https://redbus.in/bus-tickets/lucknow-to-delhi,"Raj Kalpana Travels Pvt.ltd.","AC Seater/Sleeper (2+1)",22:30:00.000000,"07h 30m",06:00:00.000000,0,649.00,29,UPSRTC
